latitude	longitude	geometry	coordinates	@id	Loading Dock X Coordinates	Loading Dock Y Coordinates	Loading Dock Details	brand	brand:en	brand:wikidata	brand:wikipedia	building	currency:EUR	name	name:en	opening_hours	opening_hours:covid19	shop	addr:city	addr:housenumber	addr:postcode	addr:street	brand:el	name:el	payment:cash	payment:debit_cards	phone	website	alt_name	operator	branch	int_name	source	wheelchair	building:levels	delivery	email	addr:housename	addr:country	addr:province	amenity	facebook	parking	twitter	payment:cards	payment:credit_cards	condition	level	organic	landuse	addr:district	short_name	short_name:en	contact:phone	addr:unit	contact:email	contact:fax	contact:website	vegan	old_name	payment:coins	payment:mastercard	payment:notes	payment:visa	recycling_type	name:de	name:ru	atm	indoor	cuisine	note	ref	addr:interpolation	toilets:wheelchair	addr:place	addr:neighborhood	name:int	payment:credit_card	diet:vegan	start_date	clothes	description	contact:facebook	contact:messenger	vegetarian	payment:bitcoin	name:ko	payment:american_express	payment:contactless	payment:diners_club	payment:visa_electron
23.7977914	38.0236872	Polygon	23.7977914,38.0236872,23.7977281,38.0241825,23.7976313,38.0242121,23.7973427,38.0240237,23.7973942,38.0239494,23.7974035,38.0238908,23.79742,38.0237871,23.7974972,38.0237871,23.7975304,38.0236545,23.7977914,38.0236872	way/32474399				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																									
23.8608366	38.0074344	Polygon	23.8608366,38.0074344,23.8610473,38.0074037,23.8610463,38.0073827,23.8620316,38.0072228,23.8620315,38.0072355,23.8624689,38.0071772,23.8626115,38.0077835,23.8618511,38.0079121,23.8618659,38.0079666,23.8611202,38.0080936,23.8611516,38.0082347,23.8609723,38.0082642,23.8609014,38.0079766,23.8609807,38.0079631,23.8609504,38.007852,23.8609402,38.0078146,23.8608366,38.0074344	way/47438567			Random point of the building 	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	supermarket		Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Γέρακας	131	15344	Μαραθώνος	Σκλαβενίτης	Σκλαβενίτης	yes	yes	21 0660 1300	sklavenitis.gr																																																															
23.6784322	37.9746981	Polygon	23.6784322,37.9746981,23.6784733,37.974681,23.6786515,37.9749383,23.6781362,37.9751477,23.6780623,37.9750369,23.677246,37.9753714,23.6771621,37.9752471,23.6770931,37.9752761,23.676667,37.9746449,23.6766915,37.9746347,23.676611,37.9745156,23.6766555,37.9744969,23.6775534,37.9741265,23.6780446,37.9748592,23.678321,37.9747443,23.6783069,37.9747231,23.6784181,37.9746769,23.6784322,37.9746981	way/49264229								yes		The Mart				supermarket											Cash & Carry Hellas																																																														
23.6720014	37.9751268	Polygon	23.6720014,37.9751268,23.6719546,37.974323,23.6727993,37.9742773,23.6727921,37.9741583,23.6734908,37.9741185,23.6735366,37.9747342,23.673796,37.9747199,23.6738179,37.975038,23.6735104,37.9750526,23.6735051,37.9749808,23.6732098,37.9749967,23.6732162,37.9750696,23.6726172,37.9750987,23.6726088,37.9750237,23.6723099,37.9750399,23.6723162,37.9751124,23.6720014,37.9751268	way/49272014				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis			supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
23.724908	38.0422121	Polygon	23.724908,38.0422121,23.724372,38.0412451,23.7252186,38.040954,23.7257546,38.041921,23.724908,38.0422121	way/52041733				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Ίλιον	67Α		Δημοκρατίας	Σκλαβενίτης	Σκλαβενίτης			302102370000																																																																
23.6998944	37.9388075	Polygon	23.6998944,37.9388075,23.6999219,37.9383166,23.7001482,37.9383245,23.7001495,37.938302,23.7001981,37.9383037,23.7002027,37.9382221,23.7004238,37.9382298,23.7004035,37.9385926,23.7003905,37.9388247,23.7001242,37.9388155,23.7001184,37.9389188,23.699983,37.9389141,23.6999887,37.9388107,23.6998944,37.9388075	way/68339045				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis			supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
23.6904737	38.0893539	Polygon	23.6904737,38.0893539,23.6904933,38.0891593,23.6910402,38.0891935,23.6910206,38.0893881,23.6904737,38.0893539	way/83683020								yes	yes			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket												ΑΒ Βασιλόπουλος																																																													
23.8323616	38.0507997	Polygon	23.8323616,38.0507997,23.8323591,38.0506802,23.8323031,38.0506808,23.8323006,38.0505705,23.8329684,38.0505609,23.8329731,38.0507496,23.832571,38.050757,23.8325716,38.0507974,23.8323616,38.0507997	way/84790933								yes	yes	Lidl Supermarket		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																									
23.8282116	38.0399442	Polygon	23.8282116,38.0399442,23.8286963,38.0395843,23.8289603,38.0398048,23.8284756,38.0401647,23.8282116,38.0399442	way/84810025				ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes	yes	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Βριλήσσια	39	15235	Πεντέλης	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος			+302144004005 +302106139445 +302106139446 +302108034741	https://www.ab.gr/storedetails/vrilissia			ΒΡΙΛΗΣΣΙΑ	Vasilopoulos																																																											
23.6948895	37.9751711	Polygon	23.6948895,37.9751711,23.69482,37.9748895,23.6955129,37.9747832,23.6955824,37.9750648,23.6948895,37.9751711	way/85132232				Lidl		Q151954	en:Lidl	yes		Lidl				supermarket																																																																									
